City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,baiyin,36.5583,104.2081,288.33,19,25,3.6,CN,1714466359
328,bridgewater,44.3835,-64.5155,277.97,76,50,7.72,CA,1714466424
329,sola,-13.8833,167.55,301.32,82,99,9.77,VU,1714466425
330,cabo san lucas,22.8909,-109.9124,295.66,27,13,0.89,MX,1714465793
331,nishinoomote,30.7333,131.0,294.46,88,40,6.69,JP,1714466425
332,richards bay,-28.783,32.0377,300.28,42,0,3.37,ZA,1714466425
333,yantzaza,-3.8278,-78.7594,295.71,100,100,0.45,EC,1714466425
334,meulaboh,4.1363,96.1285,301.68,82,99,2.89,ID,1714466425
335,luba,3.4568,8.5547,304.09,78,100,1.4,GQ,1714466425
336,maamba,-17.3667,27.15,300.07,39,0,4.17,ZM,1714466426
337,taroa,8.7058,171.2275,300.98,86,90,9.47,MH,1714466426
338,konarka,19.9,86.1167,315.37,61,0,10.39,IN,1714466426
339,sandnessjoen,66.0217,12.6316,284.44,76,75,1.03,NO,1714466247
340,navrongo,10.8956,-1.0921,309.64,23,70,3.54,GH,1714466426
341,ilhabela,-23.7781,-45.3581,296.06,90,2,1.66,BR,1714466364
342,marka,1.7159,44.7717,304.33,66,57,7.6,SO,1714466427
343,miasskoye,55.2784,61.8905,286.73,31,6,2.56,RU,1714466427
344,chamical,-30.36,-66.314,291.47,78,1,2.09,AR,1714466427
345,kabalo,-6.05,26.9167,301.98,55,32,2.56,CD,1714466427
346,afaahiti,-17.75,-149.2833,297.08,68,68,8.3,PF,1714466427
347,isla mujeres,21.2311,-86.731,299.91,84,1,5.65,MX,1714466428
348,porto-vecchio,41.591,9.2795,295.89,35,0,7.72,FR,1714466428
349,burgau,48.4316,10.4099,294.66,70,4,1.7,DE,1714466428
350,igarka,67.4667,86.5833,263.16,82,100,9.39,RU,1714466428
351,rio san juan,19.6439,-70.0763,296.91,86,98,4.98,DO,1714466428
352,khuzdar,27.7384,66.6434,296.23,9,0,11.62,PK,1714466429
353,pucon,-39.2822,-71.9543,279.01,99,100,4.86,CL,1714466429
354,garbahaarrey,3.3289,42.2209,306.64,44,9,6.39,SO,1714466429
355,muroto-misakicho,33.2833,134.15,294.14,92,71,6.0,JP,1714466429
